incident_id,name,start_date,end_date,incident_type,receiver_country,receiver_regions,receiver_category,receiver_subcategory,initiator_name,initiator_country,initiator_category,initiator_subcategory,attribution_type,attributing_actor,cyber_conflict_issue,zero_days,mitre_initial_access,mitre_impact,has_disruption,data_theft,hijacking,impact_indicator_score,functional_impact,intelligence_impact,economic_impact_value,response_indicator,start_year
2926,Iranian state-sponsored hacker group OilRig gained access to an Israeli manufacturing company using two new downloaders ODAgent as well as OilCheck beginning in February 2022,2022-02-01,,Hijacking without Misuse,Israel,"ASIA, MENA, MEA",Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Not available,OilRig/APT34/Cobalt Gypsy/Helix Kitten/Crambus/G0049/Hazel Sandstorm fka EUROPIUM,Iran,State affiliated actor,Non-state group(state-affiliation suggested),Technical report,ESET,"System / ideology, International power",No,Not available,Not available,False,Not available,Empowerment,5,No system interference/disruption,No Impact,0,Unfriendly Acts / Retorsions,2022.0
2925,Previously Unknown Group GambleForce Targeted Asia-Pacific (APAC) companies accros various Industries Starting in September 2023,2023-09-01,,"Data theft, Hijacking with Misuse","Philippines, South Korea, Australia, Indonesia","ASIA, SCS, SEA, ASIA, SCS, NEA, OC","State institutions / political system, Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)",Government / ministries,GambleForce,Unknown,Unknown,Not available,Technical report,Group-IB,Unknown,No,Exploit Public-Facing Application,Data Exfiltration,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Unfriendly Acts / Retorsions,2023.0
2902,Iranian-backed Cotton Sandstorm disrupted television networks in UAE on 10 December 2023 to broadcast images from Gaza,2023-12-10,2023-12-10,"Disruption, Hijacking with Misuse",Not available,Not available,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Not available,"Cotton Sandstorm fka NEPTUNIUM, DEV-0198/Vice Leaker/Marnanbridge (Emennet Pasargad, IRGC)",Iran,State affiliated actor,Not available,Technical report,Microsoft,System / ideology,No,Not available,Defacement,True,Not available,System Misuse,6,Day (< 24h),No Impact,0,No Response,2023.0
2901,Ukrainian Monobank targeted in DDoS attack on 12 December 2023,2023-12-12,2023-12-12,Disruption,Ukraine,"EUROPE, EASTEU",Critical infrastructure,Finance,Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,"System / ideology, Territory, Resources, International power",No,Not available,Network Denial of Service,True,Not available,Not available,6,Day (< 24h),No Impact,0,Unfriendly Acts / Retorsions,2023.0
2900,Chinese APT Volt Typhoon compromised US critical infrastructure targets in 2022,2022-01-01,,Hijacking without Misuse,United States,"NATO, NORTHAM",Critical infrastructure,"Energy, Water, Transportation, Telecommunications",Volt Typhoon fka DEV-0391/BRONZE SILHOUETTE/Vanguard Panda/UNC3236/Insidious Taurus/TAG-87/VOLTZITE,China,State affiliated actor,Non-state group(state-affiliation suggested),Media statement / Social media,Eric Goldstein (CISA’s executive assistant director),International power,No,Not available,Not available,False,Not available,Empowerment,5,No system interference/disruption,No Impact,0,Countermeasures,2022.0
2899,Russian ITG05 ( aka APT28 / Fancy Bear) compromised targets from 13 countries with Headlace backdoor between August and December 2023,2023-08-01,,Hijacking without Misuse,"Saudi Arabia, Azerbaijan, Hungary, Australia, Kazakhstan, Ukraine, Latvia, Italy, Poland, Belgium, Turkey, Romania, Germany","ASIA, MENA, MEA, GULFC, ASIA, CENTAS, EUROPE, NATO, EU, EASTEU, OC, ASIA, CSTO, SCO, EUROPE, EASTEU, EUROPE, NATO, EU, NORTHEU, EUROPE, NATO, EU, EUROPE, EU, NATO, WESTEU, ASIA, NATO, MEA, EUROPE, BALKANS, NATO, EU, EUROPE, NATO, EU, WESTEU",Not available,Not available,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/Forest Blizzard fka STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007/ITG05/BlueDelta (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",Russia,State,Not available,Technical report,IBM Security X-Force,International power,No,Phishing,Not available,False,Not available,Empowerment,6,No system interference/disruption,No Impact,0,Unfriendly Acts / Retorsions,2023.0
2898,Ukrainian Defence Intelligence compromised Russian Federal Taxation Service and wiped tax data in December 2023,2023-01-01,,"Data theft, Disruption, Hijacking with Misuse",Russia,"EUROPE, EASTEU, CSTO, SCO","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition), State institutions / political system",Civil service / administration,Main Directorate of Intelligence of the Ministry of Defense of Ukraine (GURMO),Ukraine,State,Not available,Political statement / report,Main Intelligence Department of the Ministry of Defense of Ukraine (GURMO),"System / ideology, Territory, Resources, International power",No,Not available,Data Exfiltration,False,Sensitive information,System Misuse,10,Weeks (< 4 weeks),Corruption / Major Breach,0,Countermeasures,2023.0
2897,Presumed Russian Sandworm Hackers infiltrated Networks Of Ukrainian Telecommunications Provider Kyivstar As Early As May 2023 And Caused Massive Disruption On 12 December 2023 ,2023-05-01,2023-12-20,"Data theft, Disruption, Hijacking with Misuse",Ukraine,"EUROPE, EASTEU",Critical infrastructure,Telecommunications,"Solntsepek < Sandworm/APT44/VOODOO Bear/Quedagh/TeleBots/FROZENBARENTS/IRON VIKING/Black Energy/Seashell Blizzard fka IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)",Russia,State affiliated actor,Not available,Self-attribution,Solntsepek,"System / ideology, Territory, Resources, International power",Yes,Valid Accounts,Not available,True,Sensitive information,System Misuse,9,Days (< 7 days),No Impact,95000000,Countermeasures,2023.0
2896,Unknown actors compromised reserach laboratories at University of Sherbrooke (UdeS) in early December 2023,2023-01-01,,"Data theft, Hijacking with Misuse",Canada,"NATO, NORTHAM","State institutions / political system, Critical infrastructure, Education","Civil service / administration, Research",Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Not available,Data Exfiltration,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Unfriendly Acts / Retorsions,2023.0
2895,Unknown actors hit province of Loyalty Island in New Caledonia with ransomware on 8 December 2023,2023-12-08,,"Disruption, Hijacking with Misuse, Ransomware",New Caledonia,Not available,State institutions / political system,Civil service / administration,Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Not available,Data Encrypted for Impact,True,Not available,System Misuse,7,Days (< 7 days),No Impact,0,Unfriendly Acts / Retorsions,2023.0
